trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-239.3811327472501,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-166.8421671736955,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-103.22948977766656,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-136.10711355033595,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,3,-102.9180081129495,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-203.47655003882025,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-28.232497505424625,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-117.27446747326103,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-55.33409241884537,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,12,-39.84590968250369,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-64.63971917280601,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-120.69392275299398,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-98.01616617493475,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-102.4359916914341,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,14,-2.0951962486180093,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-92.82296989764983,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-82.84832765026935,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,14,-103.30374360697819,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-35.336012848082774,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-16.949572323767573,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-1.6251279429407104,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-51.00900566246139,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,8,24.911352440855257,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-1.7196817223455088,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,1,-22.369098239726327,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,2,14.604952482631024,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,8,-1.9139101435852277,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,2,-42.97472078767777,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,12,14.960509239027825,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-75.78611468277295,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
