trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-109.81022718309188,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9048374180359596}",25,0,-199.59504451060027,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8607079764250579}",30,0,-151.71426173972426,"{0: 16, 1: 1, 2: 11, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8187307530779819}",30,0,-177.26488292274175,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.778800783071405}",25,0,-129.18256283115673,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.740818220681718}",25,0,-134.4816366112106,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7046880897187136}",25,0,-79.21665193905143,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6703200460356394}",25,17,1.2671018903752422,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6376281516217734}",25,0,-183.23504407949872,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.6065306597126335}",20,0,-89.2437215847691,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5769498103804868}",20,10,-31.06447051352485,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,8,-75.51954114143489,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.5220457767610162}",20,0,-128.00848173897893,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.49658530379140964}",20,0,2.5289846216136134,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.4723665527410148}",25,0,-79.09909521554542,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.4493289641172217}",20,0,-123.37130111917051,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.42741493194872676}",20,0,-73.50356249548405,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.4065696597405992}",20,0,-84.49697903568031,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.3867410234545013}",25,7,0.8438641196817891,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.3678794411714424}",25,0,-57.32583772532147,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.34993774911115544}",25,0,-57.8541201996198,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.33287108369807966}",25,0,-3.5357015426496705,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.31663676937905333}",20,8,-3.470887848678986,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.3011942119122022}",20,0,-51.90011724479158,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.2865047968601902}",20,3,10.217570440023009,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.2725317930340127}",25,0,-30.769017842173795,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.2592402606458916}",25,2,-58.42244295546569,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.24659696394160657}",25,0,-104.1318850277243,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.23457028809379774}",20,3,6.837563936221915,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2231301601484299}",20,0,8.788751463438873,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.21224797382674312}",25,0,-155.9691368548584,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.20189651799465547}",25,1,-35.505421528708816,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.19204990862075416}",25,0,-37.26064850316287,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.1826835240527347}",30,0,-37.99967515233097,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.17377394345044517}",30,0,18.938567294509287,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.1652988882215866}",35,0,11.905502250225092,"{0: 32, 1: 2, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.15723716631362766}",30,0,-55.75923121748477,"{0: 24, 1: 0, 2: 4, 3: 2, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.1495686192226351}",30,0,-86.04539793719536,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.14227407158651362}",20,1,10.942273342872532,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.13533528323661273}",20,6,22.347351277643483,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.12873490358780426}",35,0,-4.0449380234376235,"{0: 30, 1: 1, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.12245642825298195}",20,3,4.965137454697986,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
