trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.15723671370972,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.74875873317905,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.187897715696316,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-178.1749530848588,"{0: 19, 1: 7, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.66252114956382,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.91210948229187,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,9,-68.44623487647037,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-229.78357684708448,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.99658219776647,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.13989825266444,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.84364549719731,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.32061116428338,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.39252072687285,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.70266394483081,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.21946531324106,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.270575129400765,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.68961898927276,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.15333125202524,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.19532270147417,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,7,-65.90546783489485,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-97.10927860699731,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-90.51010824605679,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-238.17595747716297,"{0: 14, 1: 1, 2: 11, 3: 1, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,1,-87.31519134857072,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-95.80696141049249,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-237.2081281739383,"{0: 7, 1: 3, 2: 5, 3: 1, 4: 4}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-159.99282129274656,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,3,-58.50756992058734,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-100.37365986574947,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-147.7784432625872,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
